program	opt	functions	instrs
hello	O0	12	117
hello	O1	10	85
hello	O2	10	86
hello	O3	10	86
mathlib	O0	8	105
mathlib	O1	8	91
mathlib	O2	8	94
mathlib	O3	8	94
rosetta_v06_00000_100-doors_100-doors-5	O0	10	109
rosetta_v06_00000_100-doors_100-doors-5	O1	10	117
rosetta_v06_00000_100-doors_100-doors-5	O2	10	114
rosetta_v06_00000_100-doors_100-doors-5	O3	10	118
rosetta_v06_00001_100-doors_100-doors-1	O0	10	137
rosetta_v06_00001_100-doors_100-doors-1	O1	10	138
rosetta_v06_00001_100-doors_100-doors-1	O2	10	136
rosetta_v06_00001_100-doors_100-doors-1	O3	10	136
rosetta_v06_00002_100-doors_100-doors-6	O0	10	96
rosetta_v06_00002_100-doors_100-doors-6	O1	10	96
rosetta_v06_00002_100-doors_100-doors-6	O2	10	99
rosetta_v06_00002_100-doors_100-doors-6	O3	10	99
rosetta_v06_00003_100-doors_100-doors-2	O0	10	143
rosetta_v06_00003_100-doors_100-doors-2	O1	10	138
rosetta_v06_00003_100-doors_100-doors-2	O2	10	133
rosetta_v06_00003_100-doors_100-doors-2	O3	10	133
rosetta_v06_00004_100-doors_100-doors-4	O0	10	111
rosetta_v06_00004_100-doors_100-doors-4	O1	10	118
rosetta_v06_00004_100-doors_100-doors-4	O2	10	116
rosetta_v06_00004_100-doors_100-doors-4	O3	10	116
rosetta_v06_00005_100-doors_100-doors-3	O0	10	143
rosetta_v06_00005_100-doors_100-doors-3	O1	10	137
rosetta_v06_00005_100-doors_100-doors-3	O2	10	150
rosetta_v06_00005_100-doors_100-doors-3	O3	10	158
rosetta_v06_00006_100-prisoners_100-prisoners	O0	14	485
rosetta_v06_00006_100-prisoners_100-prisoners	O1	14	419
rosetta_v06_00006_100-prisoners_100-prisoners	O2	14	509
rosetta_v06_00006_100-prisoners_100-prisoners	O3	14	580
rosetta_v06_00007_15-puzzle-game_15-puzzle-game-3	O0	20	433
rosetta_v06_00007_15-puzzle-game_15-puzzle-game-3	O1	20	338
rosetta_v06_00007_15-puzzle-game_15-puzzle-game-3	O2	20	404
rosetta_v06_00007_15-puzzle-game_15-puzzle-game-3	O3	20	496
rosetta_v06_00008_15-puzzle-game_15-puzzle-game-1	O0	17	394
rosetta_v06_00008_15-puzzle-game_15-puzzle-game-1	O1	17	327
rosetta_v06_00008_15-puzzle-game_15-puzzle-game-1	O2	17	387
rosetta_v06_00008_15-puzzle-game_15-puzzle-game-1	O3	17	529
rosetta_v06_00009_15-puzzle-game_15-puzzle-game-2	O0	17	394
rosetta_v06_00009_15-puzzle-game_15-puzzle-game-2	O1	17	327
rosetta_v06_00009_15-puzzle-game_15-puzzle-game-2	O2	17	387
rosetta_v06_00009_15-puzzle-game_15-puzzle-game-2	O3	17	529
rosetta_v06_00011_2048_2048-2	O0	19	997
rosetta_v06_00011_2048_2048-2	O1	19	570
rosetta_v06_00011_2048_2048-2	O2	19	634
rosetta_v06_00011_2048_2048-2	O3	19	1114
rosetta_v06_00012_2048_2048-1	O0	16	1332
rosetta_v06_00012_2048_2048-1	O1	16	711
rosetta_v06_00012_2048_2048-1	O2	17	723
rosetta_v06_00012_2048_2048-1	O3	17	2588
rosetta_v06_00013_21-game_21-game	O0	13	245
rosetta_v06_00013_21-game_21-game	O1	13	227
rosetta_v06_00013_21-game_21-game	O2	13	279
rosetta_v06_00013_21-game_21-game	O3	13	279
rosetta_v06_00014_24-game_24-game	O0	24	753
rosetta_v06_00014_24-game_24-game	O1	24	595
rosetta_v06_00014_24-game_24-game	O2	27	877
rosetta_v06_00014_24-game_24-game	O3	26	919
