addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x4010b6	0	0	0	0	0	0	1	0	1	1	0	0
0x4011d0	0	0	0	0	0	0	0	0	0	0	0	1
0x4011e0	0	0	0	0	0	0	0	0	0	0	0	1
0x401290	0	0	0	0	0	0	2	0	2	0	0	1
0x401300	0	0	0	0	0	0	1	0	1	0	0	1
0x40130d	0	0	1	0	0	0	0	0	0	0	0	0
0x401320	0	0	0	0	0	0	1	0	1	0	0	1
0x40132b	0	0	0	0	0	0	1	0	1	0	0	0
0x40134d	0	0	0	0	0	0	1	0	1	0	0	0
0x4013a0	0	0	0	0	0	0	1	0	3	0	0	1
0x4013d1	0	0	0	0	0	0	1	1	1	0	0	0
0x4014bd	0	0	0	0	0	0	1	0	1	1	0	0
0x401510	0	0	0	0	0	0	1	0	2	1	0	1
0x401550	0	0	0	0	0	0	0	0	0	0	0	1
0x401560	0	0	0	0	0	0	0	1	0	0	0	1
0x401590	0	0	0	0	0	0	0	0	1	0	0	1
0x4015e0	0	0	0	0	0	0	0	0	0	0	0	1
0x4015f0	0	0	0	0	0	0	0	0	0	0	0	1
0x401600	0	0	0	0	0	0	0	0	0	0	0	1
0x401640	0	0	0	0	0	0	0	0	1	0	0	1
0x4016b0	0	0	0	0	0	0	0	0	0	0	0	1
0x4016c0	0	0	0	0	0	0	0	0	0	0	0	1
0x4016e0	0	0	0	0	0	0	0	0	1	0	0	1
0x4016e9	0	0	0	0	0	0	1	0	1	0	0	0
0x401750	0	0	0	0	0	0	0	0	1	0	0	1
0x4017b0	1	0	0	0	0	2	1	2	1	0	0	1
0x4017e0	0	0	0	0	0	0	0	0	0	0	0	1
0x4017f0	0	0	0	0	0	0	0	0	0	0	0	1
0x40181f	0	0	0	0	0	0	1	0	1	0	0	0
