addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401060	0	0	0	0	0	0	0	0	1	0	0	1
0x4010cc	0	0	0	0	0	0	1	2	1	0	0	0
0x4010e0	2	0	0	0	0	2	1	2	2	0	0	1
0x401110	0	0	0	0	0	0	0	1	1	0	0	1
0x401135	1	0	0	0	0	1	1	1	3	0	0	0
0x401140	0	0	0	0	0	0	2	1	2	0	0	1
0x401160	0	0	0	0	0	0	0	0	0	0	0	1
0x40124d	0	0	0	0	0	0	1	0	1	1	0	0
0x401460	0	0	0	0	0	0	1	0	1	0	0	1
0x401470	0	0	0	0	0	0	1	0	2	0	0	1
0x401490	0	0	0	0	0	0	1	0	2	0	0	1
0x4014a0	0	0	0	0	0	0	1	0	2	0	0	1
0x4014b6	0	0	0	0	0	0	1	0	2	0	0	0
0x4014c0	0	0	0	0	0	0	1	0	2	0	0	1
0x4014d6	0	0	0	0	0	0	1	0	2	0	0	0
0x4014e0	0	0	0	0	0	0	1	0	2	0	0	1
0x4014f6	0	0	0	0	0	0	1	0	2	0	0	0
0x401500	0	0	0	0	0	0	1	0	2	0	0	1
0x401520	0	0	0	0	0	0	1	0	2	0	0	1
0x401530	0	0	0	0	0	0	1	0	2	0	0	1
0x401560	0	0	0	0	0	0	1	0	3	0	0	1
0x401570	0	0	0	0	0	0	1	0	2	0	0	1
0x401580	0	0	0	0	0	0	1	0	2	0	0	1
0x401590	0	0	0	0	0	0	1	0	2	0	0	1
0x4015a0	0	0	0	0	0	0	1	0	2	0	0	1
0x4015b0	0	0	0	0	0	0	1	0	2	0	0	1
