addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401150	0	0	0	0	0	0	0	0	2	0	0	1
0x401160	0	0	0	0	0	0	0	0	2	0	0	1
0x40128d	0	0	0	0	0	0	1	0	1	1	0	0
0x4012f0	0	0	0	0	0	0	0	0	1	0	0	1
0x401300	0	0	0	0	0	0	0	0	0	0	0	1
0x401320	0	0	0	0	0	0	0	1	0	0	0	1
0x401340	0	0	0	0	0	0	0	1	0	0	0	1
0x401360	0	0	0	0	0	0	0	0	0	0	0	1
0x4013a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013c0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013e0	0	0	0	0	0	0	0	0	0	0	0	1
0x401400	0	0	0	0	0	0	0	1	0	0	0	1
0x401440	0	0	0	0	0	0	0	1	0	0	0	1
0x401460	1	0	0	0	0	1	0	1	1	0	0	1
0x401490	0	0	0	0	0	0	0	0	1	0	0	1
0x4014a0	0	0	0	0	0	0	0	1	0	0	0	1
0x4014d0	0	0	0	0	0	0	0	0	1	0	0	1
0x401500	0	0	0	0	0	0	0	0	0	0	0	1
0x401540	0	0	0	0	0	0	0	1	0	0	0	1
0x401560	0	0	0	0	0	0	0	0	0	0	0	1
0x401580	0	0	0	0	0	0	0	0	0	0	0	1
0x4015d0	0	0	0	0	0	0	0	0	1	0	0	1
0x401630	0	0	0	0	0	0	0	0	2	0	0	1
0x401650	0	0	0	0	0	0	0	1	1	0	0	1
0x4016a2	1	0	0	0	0	1	2	1	3	0	0	0
0x4016e0	0	0	0	0	0	0	1	0	1	0	0	1
0x401718	0	0	1	0	0	0	0	1	0	0	0	0
