addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x4010d0	0	0	0	0	0	0	1	0	2	0	0	1
0x401110	0	0	0	0	0	0	0	0	1	0	0	1
0x401190	0	0	0	0	0	0	0	0	2	0	0	1
0x4011e6	0	0	0	0	0	0	1	0	2	0	0	0
0x4012ad	0	0	0	0	0	0	1	0	1	1	0	0
0x401310	0	0	0	0	0	0	0	1	1	0	0	1
0x401370	0	0	0	0	0	0	0	0	0	0	0	1
0x401480	0	0	0	0	0	0	0	0	1	0	0	1
0x4014a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4014d0	0	0	0	0	0	0	0	0	0	0	0	1
0x401560	0	0	0	0	0	0	0	0	2	0	0	1
0x401636	0	0	0	0	0	0	1	0	2	0	0	0
0x401683	0	0	0	0	0	0	1	0	1	0	0	0
0x4016a0	0	0	0	0	0	0	0	0	0	0	0	1
0x401730	0	0	0	0	0	0	1	0	1	0	0	1
0x4017e0	0	0	0	0	0	0	1	0	1	0	0	1
0x401800	0	0	0	0	0	0	0	0	1	0	0	1
0x401830	0	0	0	0	0	0	2	0	2	0	0	1
