addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401080	0	0	0	0	0	0	0	0	1	0	0	1
0x4010b0	0	0	0	0	0	0	0	1	1	0	0	1
0x4010c0	1	0	0	0	0	1	0	1	0	0	0	1
0x4010f0	0	0	0	0	0	0	0	0	0	0	0	1
0x4011d0	0	0	0	0	0	0	0	0	1	0	0	1
0x4011f0	0	0	0	0	0	0	0	0	0	0	0	1
0x401210	0	0	0	0	0	0	2	0	2	0	0	1
0x401220	0	0	0	0	0	0	1	0	2	0	0	1
0x401230	0	0	0	0	0	0	0	0	1	0	0	1
0x401240	0	0	0	0	0	0	0	0	0	0	0	1
0x401250	0	0	0	0	0	0	0	0	0	0	0	1
0x40136d	0	0	0	0	0	0	1	0	1	1	0	0
0x4013c0	0	0	0	0	0	0	1	1	1	0	0	1
0x4013e0	0	0	0	0	0	0	0	1	0	0	0	1
0x401440	0	0	0	0	0	0	0	0	1	0	0	1
0x401450	0	0	0	0	0	0	0	0	0	0	0	1
0x40145e	0	0	1	0	0	0	0	0	0	0	0	0
0x401496	0	0	1	0	0	0	0	0	1	0	0	0
0x401500	0	0	0	0	0	0	1	0	1	0	0	1
0x401550	0	0	0	0	0	0	0	0	1	0	0	1
0x401610	0	0	0	0	0	0	1	0	2	0	0	1
