addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x40109a	0	0	0	0	0	0	1	0	1	0	0	0
0x401110	0	0	0	0	0	0	0	0	1	0	0	1
0x4011c0	0	0	0	0	0	0	1	0	1	0	0	1
0x401250	0	0	0	0	0	0	1	0	1	0	0	1
0x401370	0	0	0	0	0	0	0	0	0	0	0	1
0x401380	0	0	0	0	0	0	0	0	1	0	0	1
0x4013c0	0	0	0	0	0	0	1	0	1	0	0	1
0x4013d0	0	0	0	0	0	0	1	0	1	0	0	1
0x401420	0	0	0	0	0	0	1	0	2	0	0	1
0x401440	0	0	0	0	0	0	1	0	1	0	0	1
0x401450	0	0	0	0	0	0	1	0	1	0	0	1
0x401490	0	0	0	0	0	0	1	0	2	0	0	1
0x4014a0	0	0	0	0	0	0	0	0	1	0	0	1
0x4014b0	0	0	0	0	0	0	1	0	1	0	0	1
0x4014c0	0	0	0	0	0	0	1	0	1	0	0	1
0x4014d0	0	0	0	0	0	0	0	0	1	0	0	1
0x4014e0	0	0	0	0	0	0	1	0	2	0	0	1
0x40171d	0	0	0	0	0	0	1	0	1	1	0	0
0x401780	4	0	0	0	0	4	0	4	0	0	0	1
0x4017c0	4	0	0	0	0	4	0	4	0	0	0	1
0x4017e0	0	0	0	0	0	0	0	0	0	0	0	1
0x401820	4	0	0	0	0	4	0	4	0	0	0	1
0x401870	4	0	0	0	0	4	0	4	0	0	0	1
0x401890	0	0	0	0	0	0	0	0	0	0	0	1
0x4018d0	4	0	0	0	0	4	0	4	0	0	0	1
0x401920	4	0	0	0	0	4	0	4	0	0	0	1
0x401940	0	0	0	0	0	0	0	0	0	0	0	1
0x401980	4	0	0	0	0	4	0	4	0	0	0	1
0x4019f0	0	0	0	0	0	0	0	0	0	0	0	1
