addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401180	0	0	0	0	0	0	1	0	2	0	0	1
0x401190	0	0	0	0	0	0	0	0	1	0	0	1
0x40125d	0	0	0	0	0	0	1	0	1	1	0	0
0x401300	0	0	0	0	0	0	0	0	0	0	0	1
0x401340	0	0	0	0	0	0	0	0	0	0	0	1
0x401380	0	0	0	0	0	0	0	0	0	0	0	1
0x4013a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013e0	0	0	0	0	0	0	0	0	0	0	0	1
0x401400	0	0	0	0	0	0	0	0	0	0	0	1
0x401440	0	0	0	0	0	0	0	0	0	0	0	1
0x401460	0	0	0	0	0	0	0	0	0	0	0	1
0x4014a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4014c0	0	0	0	0	0	0	0	0	0	0	0	1
0x401500	0	0	0	0	0	0	0	0	0	0	0	1
0x401520	0	0	0	0	0	0	0	0	0	0	0	1
0x401560	0	0	0	0	0	0	0	0	0	0	0	1
0x4015e2	1	0	0	0	0	1	1	2	1	0	0	0
0x401610	0	0	0	0	0	0	0	0	0	0	0	1
0x401620	0	0	0	0	0	0	0	0	0	0	0	1
0x401630	0	0	0	0	0	0	0	0	1	0	0	1
0x401642	0	0	0	0	0	0	1	0	2	0	0	0
0x401730	0	0	0	0	0	0	0	0	2	0	0	1
0x401890	0	0	0	0	0	0	2	0	2	0	0	1
0x4018e0	0	0	0	0	0	0	2	0	2	0	0	1
0x401930	0	0	0	0	0	0	2	0	2	0	0	1
