addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x40111d	0	0	0	0	0	0	1	0	1	1	0	0
0x401200	0	0	0	0	0	0	0	0	0	0	0	1
0x401210	0	0	0	0	0	0	0	0	0	0	0	1
0x4012d0	0	0	0	0	0	0	0	0	0	0	0	1
0x401350	0	0	0	0	0	0	0	0	0	0	0	1
0x401360	0	0	0	0	0	0	0	0	0	0	0	1
0x401380	0	0	0	0	0	0	0	0	0	0	0	1
0x4013a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013b0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013d0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013f0	0	0	0	0	0	0	0	0	0	0	0	1
0x401400	0	0	0	0	0	0	0	0	1	0	0	1
0x401420	0	0	0	0	0	0	0	0	2	0	0	1
0x401443	0	0	0	0	0	0	1	0	2	0	0	0
0x401480	0	0	0	0	0	0	0	0	0	0	0	1
0x401490	0	0	0	0	0	0	0	0	0	0	0	1
0x4014c0	0	0	0	0	0	0	1	0	1	0	0	1
0x4014d0	0	0	0	0	0	0	1	0	1	0	0	1
