addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x40117d	0	0	0	0	0	0	1	0	1	1	0	0
0x401200	0	0	0	0	0	0	0	0	0	0	0	1
0x401240	0	0	0	0	0	0	0	0	1	0	0	1
0x401300	0	0	0	0	0	0	0	0	0	0	0	1
0x401340	0	0	0	0	0	0	0	0	0	0	0	1
0x401380	0	0	0	0	0	0	0	0	0	0	0	1
0x4013a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013e0	0	0	0	0	0	0	0	2	0	0	0	1
0x4013f0	0	0	0	0	0	0	0	0	1	0	0	1
0x401430	0	0	0	0	0	0	0	0	1	0	0	1
0x40147e	0	0	0	0	0	0	1	0	2	0	0	0
0x4014d0	0	0	0	0	0	0	0	0	0	0	0	1
0x4014f0	0	0	0	0	0	0	0	0	0	0	0	1
0x4015c0	0	0	0	0	0	0	0	0	0	0	0	1
0x4015f0	0	0	0	0	0	0	0	0	0	0	0	1
0x401600	0	0	0	0	0	0	0	0	0	0	0	1
0x401610	0	0	0	0	0	0	0	0	0	0	0	1
0x401620	0	0	0	0	0	0	0	0	0	0	0	1
0x401630	0	0	0	0	0	0	0	0	0	0	0	1
0x401640	0	0	0	0	0	0	0	0	0	0	0	1
0x401650	0	0	0	0	0	0	0	0	0	0	0	1
0x401660	0	0	0	0	0	0	0	0	0	0	0	1
0x401670	0	0	0	0	0	0	0	0	0	0	0	1
0x4016f0	0	0	0	0	0	0	0	1	0	0	0	1
0x401700	0	0	0	0	0	0	0	1	0	0	0	1
0x401720	0	0	0	0	0	0	0	1	0	0	0	1
0x4017b0	0	0	0	0	0	0	0	1	0	0	0	1
0x4017f6	0	0	1	0	0	0	0	0	1	0	0	0
0x401800	0	0	0	0	0	0	0	0	1	0	0	1
