addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x4010c0	1	0	0	0	0	1	0	1	0	0	0	1
0x4010e0	0	0	0	0	0	0	0	1	0	0	0	1
0x401130	0	0	0	0	0	0	0	1	0	0	0	1
0x401150	0	0	0	0	0	0	0	0	0	0	0	1
0x401170	0	0	0	0	0	0	0	0	0	0	0	1
0x401190	0	0	0	0	0	0	0	0	0	0	0	1
0x4011a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4011b0	0	0	0	0	0	0	0	0	0	0	0	1
0x4012a0	0	0	0	0	0	0	1	0	3	0	0	1
0x4012b0	0	0	0	0	0	0	0	0	1	0	0	1
0x40137d	0	0	0	0	0	0	1	0	1	1	0	0
0x4013d0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013f0	0	0	0	0	0	0	0	0	0	0	0	1
0x401400	0	0	0	0	0	0	0	0	0	0	0	1
