addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x4010c0	0	0	0	0	0	0	1	0	2	0	0	1
0x401100	0	0	0	0	0	0	0	0	2	0	0	1
0x401160	0	0	0	0	0	0	0	0	0	0	0	1
0x4011e0	0	0	0	0	0	0	0	0	0	0	0	1
0x4011f0	0	0	0	0	0	0	0	0	0	0	0	1
0x401210	0	0	0	0	0	0	0	0	0	0	0	1
0x401240	0	0	0	0	0	0	0	0	0	0	0	1
0x401250	0	0	0	0	0	0	0	0	0	0	0	1
0x4012a0	0	0	0	0	0	0	0	1	0	0	0	1
0x4012c0	0	0	0	0	0	0	0	0	0	0	0	1
0x40130d	1	0	0	0	0	1	1	1	3	0	0	0
0x401340	0	0	0	0	0	0	0	0	1	0	0	1
0x401350	0	0	0	0	0	0	0	0	1	0	0	1
0x40144d	0	0	0	0	0	0	1	0	1	1	0	0
0x4014c0	0	0	0	0	0	0	0	0	1	0	0	1
0x4015d0	0	1	0	0	1	0	1	1	1	0	0	1
0x401620	0	0	0	0	0	0	0	0	0	0	0	1
0x401640	0	0	0	0	0	0	0	0	0	0	0	1
0x4016ce	0	0	0	0	0	0	1	0	2	0	0	0
0x4016ef	0	0	0	0	0	0	1	0	2	0	0	0
0x401700	0	0	0	0	0	0	0	0	1	0	0	1
0x4017a0	0	0	0	0	0	0	0	1	0	0	0	1
0x401800	0	0	0	0	0	0	0	0	0	0	0	1
0x401830	0	0	0	0	0	0	0	0	1	0	0	1
0x401890	0	0	0	0	0	0	0	0	0	0	0	1
0x4018a0	0	0	0	0	0	0	0	1	1	0	0	1
0x4018c0	0	0	0	0	0	0	0	1	1	0	0	1
