addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x4011e0	0	0	0	0	0	0	0	0	0	0	0	1
0x401200	0	0	0	0	0	0	0	0	0	0	0	1
0x401280	1	0	0	0	0	1	1	1	3	0	0	1
0x4012f0	0	0	0	0	0	0	0	0	1	0	0	1
0x401360	0	0	0	0	0	0	0	0	1	0	0	1
0x4013e0	0	0	0	0	0	0	0	0	1	0	0	1
0x401496	0	0	0	0	0	0	2	0	4	0	0	0
0x40155d	0	0	0	0	0	0	1	0	1	1	0	0
0x401590	0	0	0	0	0	0	1	0	1	0	0	1
0x401600	0	0	0	0	0	0	0	0	0	0	0	1
0x401620	0	0	0	0	0	0	0	0	0	0	0	1
0x401680	0	0	0	0	0	0	0	0	0	0	0	1
0x401760	0	0	0	0	0	0	0	0	0	0	0	1
0x401780	0	0	0	0	0	0	0	0	0	0	0	1
0x401790	0	0	0	0	0	0	0	0	0	0	0	1
0x4017e0	0	0	0	0	0	0	0	0	1	0	0	1
0x401800	0	0	0	0	0	0	0	0	0	0	0	1
0x401820	0	0	0	0	0	0	0	0	0	0	0	1
0x40182f	0	0	0	0	1	0	1	0	1	0	0	0
0x401850	0	0	0	0	0	0	0	0	1	0	0	1
0x401880	0	0	0	0	0	0	0	0	0	0	0	1
0x4018b0	0	0	0	0	0	0	0	0	0	0	0	1
0x4018b9	0	0	1	0	0	0	0	2	0	0	0	0
0x401960	0	0	0	0	0	0	0	0	2	0	0	1
0x401970	0	0	0	0	0	0	0	0	1	0	0	1
0x4019bc	0	0	0	0	0	0	2	0	2	0	0	0
0x4019f0	0	0	0	0	0	0	0	0	1	0	0	1
0x401a3e	0	0	1	0	0	0	0	1	0	0	0	0
