addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x4010a0	0	0	0	0	0	0	0	0	1	0	0	1
0x40118d	0	0	0	0	0	0	1	0	1	1	0	0
0x401200	0	0	0	0	0	0	0	0	0	0	0	1
0x401230	0	0	0	0	0	0	0	0	0	0	0	1
0x4012c0	0	0	0	0	0	0	0	0	0	0	0	1
0x401310	0	0	0	0	0	0	1	0	2	0	0	1
0x401330	0	0	0	0	0	0	0	0	1	0	0	1
0x4013f6	0	0	0	0	0	0	1	0	2	0	0	0
0x401400	0	0	0	0	0	0	1	0	2	0	0	1
0x401497	0	0	1	0	0	0	1	0	1	0	0	0
0x4014b0	0	0	0	0	0	0	0	0	0	1	0	1
0x4014e0	0	0	0	0	0	0	1	0	2	0	0	1
0x401540	0	0	0	0	0	0	0	0	0	0	0	1
