addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401160	0	0	0	0	0	0	0	0	1	0	0	1
0x401170	0	0	0	0	0	0	0	0	1	0	0	1
0x40127d	0	0	0	0	0	0	1	0	1	1	0	0
0x401330	0	0	0	0	0	0	0	0	0	0	0	1
0x4014a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4014b0	0	0	0	0	0	0	0	0	0	0	0	1
0x401530	0	0	0	0	0	0	0	1	0	0	0	1
0x401570	0	0	0	0	0	0	0	0	1	0	0	1
0x401580	0	0	0	0	0	0	0	1	0	0	0	1
0x4015c0	0	0	0	0	0	0	1	0	1	0	0	1
0x401710	0	0	0	0	0	0	0	0	1	0	0	1
0x401790	0	0	0	0	0	0	1	0	2	0	0	1
0x401810	0	0	0	0	0	0	1	0	1	0	0	1
0x40181e	0	0	0	0	0	0	1	0	1	0	0	0
0x4018a0	0	0	0	0	0	0	0	0	1	0	0	1
0x401920	0	0	0	0	0	0	0	0	1	0	0	1
0x401930	0	0	0	0	0	0	0	0	0	0	0	1
0x401950	0	0	0	0	0	0	0	0	1	0	0	1
0x4019e6	0	0	0	0	0	0	1	0	3	0	0	0
