addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x40120d	0	0	0	0	0	0	1	0	1	1	0	0
0x401280	0	0	0	0	0	0	0	0	0	0	0	1
0x4012c0	0	0	0	0	0	0	0	0	0	0	0	1
0x401320	0	0	0	0	0	0	0	0	0	0	0	1
0x401340	0	0	0	0	0	0	0	0	0	0	0	1
0x401370	0	0	0	0	0	0	0	0	0	0	0	1
0x401390	0	0	0	0	0	0	0	1	0	0	0	1
0x401400	0	0	0	0	0	0	0	0	0	0	0	1
0x401410	0	0	0	0	0	0	0	0	0	0	0	1
0x401440	0	0	0	0	0	0	0	0	0	0	0	1
0x401470	0	0	0	0	0	0	0	0	1	0	0	1
0x4014c0	0	0	0	0	0	0	0	0	0	0	0	1
0x4014d0	0	0	0	0	0	0	0	0	0	0	0	1
0x401500	0	0	0	0	0	0	0	0	1	0	0	1
0x401510	0	0	0	0	0	0	0	1	0	0	0	1
0x401580	0	0	0	0	0	0	0	0	0	0	0	1
0x401590	0	0	0	0	0	0	0	0	0	0	0	1
0x4015f0	0	0	0	0	0	0	0	0	0	0	0	1
0x401630	0	0	0	0	0	0	0	1	1	0	0	1
