addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401169	0	0	1	0	0	0	0	2	2	0	0	0
0x401186	1	0	0	0	0	1	2	1	3	0	0	0
0x40126d	0	0	0	0	0	0	1	0	1	1	0	0
0x4012c0	0	0	0	0	0	0	0	0	1	0	0	1
0x401320	0	0	0	0	0	0	0	0	1	0	0	1
0x401380	0	0	0	0	0	0	0	0	0	0	0	1
0x401400	0	0	0	0	0	0	0	0	1	0	0	1
0x401420	1	0	0	0	0	1	0	1	1	0	0	1
0x401490	0	0	0	0	0	0	0	0	0	0	0	1
0x4014c4	0	0	0	0	0	0	1	0	2	0	0	0
0x401500	0	0	0	0	0	0	0	0	1	0	0	1
0x401520	0	0	0	0	0	0	0	0	1	0	0	1
0x401530	0	0	0	0	0	0	0	0	0	0	0	1
0x401540	0	0	0	0	0	0	0	0	1	0	0	1
0x401560	0	0	0	0	0	0	0	0	1	0	0	1
0x401570	0	0	0	0	0	0	0	0	1	0	0	1
0x4015e0	0	0	0	0	0	0	0	0	0	0	0	1
0x4015f0	0	0	0	0	0	0	0	0	0	0	0	1
0x401624	1	0	0	0	0	1	1	1	1	0	0	0
0x401643	0	0	1	0	0	0	0	0	0	0	0	0
0x401652	0	0	0	0	0	0	1	0	1	0	0	0
