addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x4010c0	1	0	0	0	0	1	0	1	2	0	0	1
0x401100	0	0	0	0	0	0	0	0	0	0	0	1
0x40114f	0	0	0	0	0	0	1	0	1	0	0	0
0x401160	0	0	0	0	0	0	1	0	1	0	0	1
0x401170	0	0	0	0	0	0	0	0	2	0	0	1
0x401210	0	0	0	0	0	0	1	1	2	0	0	1
0x401220	0	0	0	0	0	0	1	0	3	0	0	1
0x401234	0	0	0	0	0	0	1	0	2	0	0	0
0x4012fd	0	0	0	0	0	0	1	0	1	1	0	0
0x401380	0	0	0	0	0	0	0	0	0	0	0	1
0x4013a6	0	0	1	0	0	0	0	0	0	0	0	0
