addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401180	0	0	0	0	0	0	0	0	0	0	0	1
0x401190	0	0	0	0	0	0	0	0	0	0	0	1
0x4011a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4011c0	1	0	0	0	0	1	0	1	0	0	0	1
0x4011de	0	0	0	0	0	0	1	0	1	0	0	0
0x4011f0	0	0	0	0	0	0	0	1	1	0	0	1
0x401270	0	0	0	0	0	0	0	0	1	0	0	1
0x40134d	0	0	0	0	0	0	1	0	1	1	0	0
0x401390	0	0	0	0	0	0	0	0	0	0	0	1
0x4013a0	0	0	0	0	0	0	0	0	1	0	0	1
0x4013b3	0	0	0	0	0	0	1	1	1	0	0	0
