addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x4011ad	0	0	0	0	0	0	1	0	1	1	0	0
0x40124a	0	0	0	0	0	0	0	0	1	0	0	0
0x401330	0	0	0	0	0	0	0	0	0	0	0	1
0x401370	4	0	0	0	0	4	0	4	0	0	0	1
0x4013c0	0	0	0	0	0	0	1	0	2	0	0	1
0x4013d0	0	0	0	0	0	0	0	0	1	0	0	1
0x401450	0	0	0	0	0	0	1	0	1	0	0	1
0x401460	0	0	0	0	0	0	0	0	2	0	0	1
0x401490	0	0	0	0	0	0	0	0	0	0	0	1
0x4014a0	0	0	0	0	0	0	0	0	1	0	0	1
0x401510	0	0	0	0	0	0	0	0	1	0	0	1
0x401540	0	0	0	0	0	0	0	0	1	0	0	1
0x401550	0	0	0	0	0	0	1	0	2	0	0	1
0x401560	0	0	0	0	0	0	1	0	2	0	0	1
0x401590	0	0	0	0	0	0	0	0	0	0	0	1
0x4015e0	0	0	0	0	0	0	1	0	2	0	0	1
0x401640	0	0	0	0	0	0	1	0	2	0	0	1
