addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401070	0	0	0	0	0	0	0	0	0	0	0	1
0x401090	0	0	0	0	0	0	1	0	1	0	0	1
0x4010a0	0	0	0	0	0	0	1	0	2	0	0	1
0x4010d0	0	0	0	0	0	0	0	0	1	0	0	1
0x40119d	0	0	0	0	0	0	1	0	1	1	0	0
0x401220	0	0	0	0	0	0	0	0	1	0	0	1
0x401230	0	0	0	0	0	0	0	0	1	0	0	1
0x401250	0	0	0	0	0	0	0	0	1	0	0	1
0x401260	0	0	0	0	0	0	0	0	0	0	0	1
0x401340	0	0	0	0	0	0	0	0	0	0	0	1
0x4013d0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013e0	0	0	0	0	0	0	0	0	0	0	0	1
0x401410	1	0	0	0	0	1	0	1	0	0	0	1
0x401420	0	0	0	0	0	0	0	1	0	0	0	1
0x401440	0	0	0	0	0	0	0	0	0	0	0	1
0x401480	0	0	0	0	0	0	0	0	0	0	0	1
0x4014b0	1	0	0	0	0	1	0	1	1	0	0	1
0x4014d0	0	0	0	0	0	0	0	0	1	0	0	1
0x401549	0	0	1	0	0	0	0	0	0	0	0	0
0x401580	0	0	0	0	0	0	0	0	1	0	0	1
