addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401118	0	0	0	0	0	0	1	0	2	0	0	0
0x401130	0	0	0	0	0	0	0	0	1	0	0	1
0x4011f0	0	0	0	0	0	0	1	0	1	0	0	1
0x401200	0	0	0	0	0	0	1	0	1	0	0	1
0x40134d	0	0	0	0	0	0	1	0	1	1	0	0
0x401400	0	0	0	0	0	0	0	0	0	0	0	1
0x401420	0	0	0	0	0	0	1	0	2	0	0	1
0x401480	0	0	0	0	0	0	0	0	1	0	0	1
0x4014d0	0	0	0	0	0	0	0	0	0	0	0	1
0x4014e0	0	0	0	0	0	0	0	0	1	0	0	1
0x4014f0	0	0	0	0	0	0	0	0	1	0	0	1
0x401510	0	0	0	0	0	0	0	0	1	0	0	1
0x401540	0	0	0	0	0	0	0	1	0	0	0	1
0x401570	0	0	0	0	0	0	0	1	0	0	0	1
0x401580	0	0	0	0	0	0	0	0	1	0	0	1
0x4015e0	0	0	0	0	0	0	0	0	1	0	0	1
0x401610	0	0	0	0	0	0	0	0	0	0	0	1
0x401650	0	0	0	0	0	0	0	0	1	0	0	1
0x4016a0	0	0	0	0	0	0	0	0	1	0	0	1
0x4016d0	0	0	0	0	0	0	0	0	0	0	0	1
0x401720	0	0	0	0	0	0	1	0	1	0	0	1
0x401760	0	0	0	0	0	0	0	0	0	0	0	1
0x401780	0	0	0	0	0	0	1	0	1	0	0	1
0x4017e0	0	0	0	0	0	0	0	1	0	1	1	1
0x401810	0	0	0	0	0	0	0	1	0	0	0	1
0x401820	0	0	0	0	0	0	0	0	0	0	0	1
0x401830	0	0	0	0	0	0	0	0	0	0	0	1
0x401840	0	0	0	0	0	0	0	0	0	0	0	1
0x401850	0	0	0	0	0	0	0	0	0	0	0	1
0x401870	0	0	0	0	0	0	1	0	2	0	0	1
0x40189d	0	0	0	0	0	0	1	0	2	0	0	0
0x401920	1	0	0	0	0	1	0	1	0	0	0	1
0x401970	1	0	0	0	0	1	0	1	1	0	0	1
0x4019b4	0	0	0	0	0	0	1	0	3	0	0	0
