addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401080	2	0	0	0	0	2	0	2	0	0	0	1
0x4010e0	0	0	0	0	0	0	0	0	0	0	0	1
0x401100	0	0	0	0	0	0	0	0	0	0	0	1
0x401110	0	0	0	0	0	0	0	0	0	0	0	1
0x401190	0	0	0	0	0	0	0	0	0	0	0	1
0x4011e0	0	0	0	0	0	0	0	0	1	0	0	1
0x401200	0	0	0	0	0	0	1	2	1	0	0	1
0x401296	0	0	1	0	0	0	0	0	0	0	0	0
0x4012a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4012b0	0	0	0	0	0	0	0	0	1	0	0	1
0x4012d7	0	0	0	0	0	0	1	0	1	0	0	0
0x4012e0	0	0	0	0	0	0	0	0	2	0	0	1
0x401360	0	0	0	0	0	0	0	0	3	0	0	1
0x401387	0	0	0	0	0	0	1	0	1	0	0	0
0x40147d	0	0	0	0	0	0	1	0	1	1	0	0
0x4014d0	0	0	0	0	0	0	0	0	0	0	0	1
0x4014e0	0	0	0	0	0	0	0	0	0	0	0	1
0x4014f0	0	0	0	0	0	0	0	0	0	0	0	1
0x401500	0	0	0	0	0	0	0	0	0	0	0	1
0x401519	0	0	0	0	0	0	1	0	1	0	0	0
0x401540	0	0	0	0	0	0	0	0	0	0	0	1
0x40159f	0	0	1	0	0	0	0	0	0	0	0	0
0x4015c0	0	0	0	0	0	0	0	0	0	1	0	1
0x4015d0	0	0	0	0	0	0	0	0	0	0	0	1
0x4015f0	0	0	0	0	0	0	0	0	0	0	0	1
0x401600	0	0	0	0	0	0	0	0	0	0	0	1
0x401610	0	0	0	0	0	0	0	0	0	0	0	1
0x401680	0	0	0	0	0	0	0	0	0	0	0	1
0x4016a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4016b0	0	0	0	0	0	0	0	0	1	0	0	1
0x4016d6	0	0	0	0	0	0	1	0	1	0	0	0
