addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401140	0	0	0	0	0	0	0	0	1	0	0	1
0x401150	0	0	0	0	0	0	0	0	0	0	0	1
0x401160	0	0	0	0	0	0	0	0	1	0	0	1
0x40124d	0	0	0	0	0	0	1	0	1	1	0	0
0x401360	0	0	0	0	0	0	0	1	0	1	0	1
0x401370	1	0	0	0	0	1	1	1	1	0	0	1
0x4013a0	0	0	0	0	0	0	1	0	1	0	0	1
0x4013d0	0	0	0	0	0	0	1	0	1	0	0	1
0x401440	0	0	0	0	0	0	0	0	1	0	0	1
0x4014b0	0	0	0	0	0	0	0	0	2	0	0	1
