addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x4011dd	0	0	0	0	0	0	1	0	1	1	0	0
0x4012e0	0	0	0	0	0	0	0	0	0	0	0	1
0x401372	0	0	1	0	0	0	0	0	0	0	0	0
0x4013e0	0	0	0	0	0	0	0	0	0	0	0	1
0x401430	0	0	0	0	0	0	0	0	0	0	0	1
0x401440	0	0	0	0	0	0	0	0	0	0	0	1
0x401450	0	0	0	0	0	0	0	0	1	0	0	1
0x401490	0	0	0	0	0	0	0	0	1	0	0	1
0x4014c0	0	0	0	0	0	0	1	0	2	0	0	1
0x4014d0	0	0	0	0	0	0	0	0	1	0	0	1
0x401510	0	0	0	0	0	0	0	0	0	0	0	1
0x401580	0	0	0	0	0	0	0	0	1	0	0	1
0x401680	0	0	0	0	0	0	0	0	0	0	0	1
0x401720	0	0	0	0	0	0	0	0	0	0	0	1
0x401740	0	0	0	0	0	0	0	0	0	0	0	1
