addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x40115d	0	0	0	0	0	0	1	0	1	1	0	0
0x4011c0	1	0	0	0	0	1	0	1	0	0	0	1
0x4011e0	0	0	0	0	0	0	0	0	1	0	0	1
0x4011f0	0	0	0	0	0	0	1	0	1	0	0	1
0x401210	0	0	0	0	0	0	0	1	0	0	0	1
0x401220	1	0	0	0	0	1	0	1	0	0	0	1
0x401230	0	0	0	0	0	0	0	0	0	0	0	1
0x401246	0	0	0	0	0	0	1	0	1	0	0	0
0x401280	0	0	0	0	0	0	0	0	0	0	0	1
0x4012c0	0	0	0	0	0	0	0	0	0	0	0	1
0x4012e0	0	0	0	0	0	0	0	0	0	0	0	1
0x401313	0	0	1	0	0	1	0	1	0	0	0	0
0x401350	0	0	0	0	0	0	0	1	0	0	0	1
0x401370	1	0	0	0	0	1	0	1	0	0	0	1
0x401390	0	0	0	0	0	0	1	0	2	0	0	1
0x4013d0	0	0	0	0	0	0	0	1	0	0	0	1
0x4013e0	1	0	0	0	0	1	0	1	0	0	0	1
0x4013f0	0	0	0	0	0	0	0	0	0	0	0	1
0x401406	0	0	0	0	0	0	1	0	1	0	0	0
0x401410	0	0	0	0	0	0	1	0	1	0	0	1
0x401420	0	0	0	0	0	0	0	0	1	0	0	1
0x401440	0	0	0	0	0	0	0	0	0	0	0	1
0x401450	0	0	0	0	0	0	0	0	0	0	0	1
0x401460	0	0	0	0	0	0	0	0	0	0	0	1
0x401470	0	0	0	0	0	0	0	0	0	0	0	1
