addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x4010a0	0	0	0	0	0	0	0	0	2	0	0	1
0x40118d	0	0	0	0	0	0	1	0	1	1	0	0
0x4011e0	0	0	0	0	0	0	0	1	1	0	0	1
0x401203	0	0	1	0	0	0	0	0	0	0	0	0
0x401240	0	0	0	0	0	0	1	0	1	0	0	1
0x401250	0	0	0	0	0	0	0	0	1	0	0	1
0x401260	0	0	0	0	0	0	0	0	0	0	0	1
0x4012a0	1	0	0	0	0	1	1	1	1	0	0	1
0x4012e0	0	0	0	0	0	0	0	0	0	0	0	1
0x4012f0	0	0	0	0	0	0	1	0	1	0	0	1
0x401300	0	0	0	0	0	0	0	0	1	0	0	1
