addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x4010e0	0	0	0	0	0	0	0	0	1	0	0	1
0x4011ad	0	0	0	0	0	0	1	0	1	1	0	0
0x4011e0	0	0	0	0	0	0	1	0	1	0	0	1
0x4012a0	0	0	0	0	0	0	0	1	0	0	0	1
0x4012d0	0	0	0	0	0	0	1	0	1	0	0	1
0x401310	0	1	0	0	1	0	1	1	1	0	0	1
0x401350	0	0	0	0	0	0	0	0	0	0	0	1
0x401380	0	0	0	0	0	0	0	0	1	0	0	1
0x4013a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013d0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013e0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013f0	0	0	0	0	0	0	0	0	0	0	0	1
0x4014a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4015a0	0	0	0	0	0	0	1	0	2	0	0	1
0x401610	0	0	0	0	0	0	1	0	2	0	0	1
0x4016a0	0	0	0	0	0	0	0	0	1	0	0	1
0x4016b7	0	0	0	0	0	0	1	0	1	0	0	0
0x401722	0	0	0	0	0	0	1	0	1	0	0	0
0x401780	0	0	0	0	0	0	0	0	0	0	0	1
0x401790	0	0	0	0	0	0	0	0	0	0	0	1
0x4017c9	0	0	1	0	0	0	0	0	1	0	0	0
0x4017df	0	0	0	0	0	0	1	0	1	0	0	0
0x401810	0	0	0	0	0	0	0	0	1	0	0	1
0x4018b0	0	0	0	0	0	0	0	0	0	0	0	1
0x4018c0	0	0	0	0	0	0	0	0	0	0	0	1
