addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401190	1	0	0	0	0	1	0	1	0	0	0	1
0x4011f0	0	0	0	0	0	0	0	0	1	0	0	1
0x401280	1	0	0	0	0	1	0	1	1	0	0	1
0x4012d0	0	0	0	0	0	0	1	0	1	0	0	1
0x4013ed	0	0	0	0	0	0	1	0	1	1	0	0
0x401460	1	0	0	0	0	1	0	1	0	0	0	1
0x4014b0	0	0	0	0	0	0	1	0	1	0	0	1
0x4014e0	0	0	0	0	0	0	0	1	0	0	0	1
0x401500	1	0	0	0	0	1	0	1	0	0	0	1
0x401530	0	0	0	0	0	0	0	0	0	0	0	1
0x401540	0	0	0	0	0	0	0	0	0	0	0	1
0x401560	0	0	0	0	0	0	1	0	1	0	0	1
0x401578	0	0	1	0	0	0	0	0	0	0	0	0
