addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401130	0	0	0	0	0	0	0	0	1	0	0	1
0x4011a0	0	0	0	0	0	0	0	0	0	0	0	1
0x401251	0	0	0	0	0	0	2	0	3	0	0	0
0x4012a0	0	0	0	0	0	0	1	0	2	0	0	1
0x40138d	0	0	0	0	0	0	1	0	1	1	0	0
0x4013e8	0	0	0	0	0	0	1	0	1	0	0	0
0x40141e	0	0	1	0	0	0	0	0	1	0	0	0
0x4014f0	1	0	0	0	0	1	1	1	1	0	0	1
0x401500	0	0	0	0	0	0	1	1	1	0	0	1
0x401550	1	0	0	0	0	1	0	1	0	0	0	1
0x401580	0	0	0	0	0	0	0	0	1	0	0	1
0x4015a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4015b0	0	0	0	0	0	0	0	0	1	0	0	1
0x40163f	0	0	0	0	0	0	1	0	2	0	0	0
0x401690	0	0	0	0	0	0	0	0	0	0	0	1
0x4016c0	0	0	0	0	0	0	0	0	0	0	0	1
0x401700	0	0	0	0	0	0	0	0	0	0	0	1
0x401730	0	0	0	0	0	0	0	0	0	0	0	1
0x401750	0	0	0	0	0	0	0	0	0	0	0	1
0x401760	0	0	0	0	0	0	0	0	0	0	0	1
0x401770	0	0	0	0	0	0	0	0	0	0	0	1
0x401790	0	0	0	0	0	0	0	0	0	0	0	1
0x4017a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4017d0	0	0	0	0	0	0	0	0	0	0	0	1
0x401810	0	0	0	0	0	0	0	0	0	0	0	1
0x401830	0	0	0	0	0	0	0	0	0	0	0	1
0x401840	0	0	0	0	0	0	0	0	0	0	0	1
0x401850	0	0	0	0	0	0	0	0	0	0	0	1
0x401870	0	0	0	0	0	0	0	0	0	0	0	1
0x401880	0	0	0	0	0	0	0	0	0	0	0	1
0x401890	0	0	0	0	0	0	0	0	0	0	0	1
0x4018b0	0	0	0	0	0	0	0	0	0	0	0	1
0x401900	0	0	0	0	0	0	0	0	0	0	0	1
0x401990	0	0	0	0	0	0	0	0	1	0	0	1
0x401a20	0	0	0	0	0	0	0	2	0	0	0	1
0x401be0	1	0	0	0	0	3	0	4	1	0	0	1
0x401c20	0	0	0	0	0	0	1	0	3	0	0	1
0x401c4c	1	0	0	0	0	1	1	1	3	0	0	0
0x401d2a	1	0	0	0	0	1	1	1	3	0	0	0
0x401d84	0	0	0	0	0	0	1	0	3	0	0	0
