addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x40118d	0	0	0	0	0	0	1	0	1	1	0	0
0x401230	0	0	0	0	0	0	0	0	0	0	0	1
0x401250	0	0	0	0	0	0	0	1	0	0	0	1
0x401290	0	0	0	0	0	0	0	0	1	0	0	1
0x4012c0	0	0	0	0	0	0	0	0	0	0	0	1
0x401360	0	0	0	0	0	0	1	1	1	0	0	1
0x4013a6	1	0	0	0	0	1	1	1	1	0	0	0
0x401410	0	0	0	0	0	0	0	0	0	0	0	1
0x401440	0	0	0	0	0	0	1	0	1	0	0	1
0x40147f	0	0	0	0	0	0	1	0	1	0	0	0
0x401498	0	0	0	0	0	0	1	0	1	0	0	0
0x4014e0	0	0	0	0	0	0	1	0	2	0	0	1
