addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x40129d	0	0	0	0	0	0	1	0	1	1	0	0
0x401314	0	0	0	0	0	0	1	0	1	0	0	0
0x401320	0	0	0	0	0	0	1	0	1	0	0	1
0x4013a0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013c0	0	0	0	0	0	0	0	0	0	0	0	1
0x4013e0	0	0	0	0	0	0	0	0	0	0	0	1
0x401410	0	0	0	0	0	0	1	0	1	0	0	1
0x401470	0	0	0	0	0	0	0	0	1	0	0	1
0x401490	0	0	0	0	0	0	1	0	2	0	0	1
0x4014b0	0	0	0	0	0	0	1	0	1	0	0	1
0x401500	0	0	0	0	0	0	1	0	1	0	0	1
0x401550	0	0	0	0	0	0	0	0	1	0	0	1
0x401560	0	0	0	0	0	0	0	0	1	0	0	1
0x401596	0	0	0	0	0	0	1	0	2	0	0	0
0x4015a0	0	0	0	0	0	0	1	0	2	0	0	1
0x4015e0	0	0	0	0	0	0	1	0	1	0	0	1
0x4015f0	0	0	0	0	0	0	1	1	1	0	0	1
0x4016c0	0	0	0	0	0	0	0	0	2	0	0	1
0x401830	0	0	0	0	0	0	0	0	0	0	0	1
0x4018e0	0	0	0	0	0	0	0	0	0	0	0	1
