addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x40122d	1	0	0	0	0	1	1	2	1	0	0	0
0x401250	0	0	0	0	0	0	0	0	0	0	0	1
0x401276	0	0	0	0	0	0	1	0	1	0	0	0
0x401290	0	0	0	0	0	0	0	0	2	0	0	1
0x4013ed	0	0	0	0	0	0	1	0	1	1	0	0
0x401420	0	0	0	0	0	0	1	0	1	0	0	1
0x4014a3	0	0	1	0	0	0	0	0	1	0	0	0
0x401580	0	0	0	0	0	0	0	0	1	0	0	1
0x4015a0	0	0	0	0	0	0	0	0	1	0	0	1
0x4015aa	0	0	0	0	0	0	1	0	1	0	0	0
0x4015c0	0	0	0	0	0	0	0	0	1	0	0	1
0x4015e0	0	0	0	0	0	0	1	3	1	0	0	1
0x401660	0	0	1	0	0	0	0	0	0	0	0	1
0x401686	0	0	1	0	0	0	0	0	0	0	0	0
0x401690	0	0	0	0	0	0	0	0	0	0	0	1
0x4016c0	0	0	0	0	0	0	0	0	0	0	0	1
0x4016d0	0	0	0	0	0	0	0	0	0	0	0	1
0x4016f0	0	0	0	0	0	0	0	0	0	0	0	1
0x401700	0	0	0	0	0	0	0	0	0	0	0	1
0x4017a0	0	0	0	0	0	0	0	1	0	0	0	1
0x4017d0	0	0	0	0	0	0	0	0	0	0	0	1
0x4017e0	0	0	0	0	0	0	0	0	0	0	0	1
0x401800	0	0	0	0	0	0	0	0	0	0	0	1
0x401840	0	0	0	0	0	0	0	0	0	0	0	1
0x4018af	0	0	1	0	0	0	0	0	0	0	0	0
0x4018d0	0	0	0	0	0	0	0	0	0	0	0	1
0x4018e0	0	0	0	0	0	0	0	0	0	0	0	1
