addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x401130	1	0	0	0	0	1	0	1	0	0	0	1
0x401150	0	0	0	0	0	0	0	0	0	0	0	1
0x4011d0	2	0	0	0	0	2	0	2	0	0	0	1
0x4012d0	0	0	0	0	0	0	0	0	1	0	0	1
0x401320	0	0	0	0	0	0	0	0	0	0	0	1
0x401340	1	0	0	0	0	1	0	1	0	0	0	1
0x401380	0	0	0	0	0	0	0	0	0	0	0	1
0x4013fa	1	0	0	0	0	1	1	1	3	0	0	0
0x401410	0	0	0	0	0	0	1	1	2	0	0	1
0x40142c	0	0	0	0	0	0	1	0	2	0	0	0
0x4014d0	0	0	0	0	0	0	1	0	1	0	0	1
0x4014f0	0	0	0	0	0	0	1	0	1	0	0	1
0x401500	0	0	0	0	0	0	1	0	2	0	0	1
0x401520	0	0	0	0	0	0	1	0	1	0	0	1
0x401540	0	0	0	0	0	0	1	0	1	0	0	1
0x401550	0	0	0	0	0	0	1	0	2	0	0	1
0x401570	0	0	0	0	0	0	1	0	1	0	0	1
0x401590	0	0	0	0	0	0	1	0	1	0	0	1
0x4015a0	0	0	0	0	0	0	1	0	2	0	0	1
0x4015c0	0	0	0	0	0	0	1	0	1	0	0	1
0x4015f0	0	0	0	0	0	0	1	0	2	0	0	1
0x401610	0	0	0	0	0	0	1	0	1	0	0	1
0x40172d	0	0	0	0	0	0	1	0	1	1	0	0
0x401760	0	0	0	0	0	0	1	0	1	0	0	1
0x401793	0	0	1	0	0	0	0	0	0	0	0	0
0x4017d0	0	0	0	0	0	0	0	0	1	0	0	1
0x4017e0	0	0	0	0	0	0	0	0	0	0	0	1
0x401880	0	0	0	0	0	0	0	0	0	0	0	1
0x4018f0	0	0	0	0	0	0	2	0	2	0	0	1
