addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x40122d	0	0	0	0	0	0	1	0	1	1	0	0
0x401260	0	0	0	0	0	0	1	2	1	0	0	1
0x4012c0	1	0	0	0	0	1	0	1	0	0	0	1
0x401330	0	0	0	0	0	0	0	0	0	0	0	1
0x401370	0	0	0	0	0	0	0	0	0	0	0	1
0x401390	0	0	0	0	0	0	0	0	0	0	0	1
0x401460	0	0	0	0	0	0	0	0	0	0	0	1
0x4014c0	0	0	0	0	0	0	0	0	0	0	0	1
0x4014d0	0	0	0	0	0	0	0	0	0	0	0	1
0x401570	0	0	0	0	0	0	0	0	0	0	0	1
0x4015b0	0	0	1	0	0	0	0	0	1	0	0	1
0x401640	0	0	0	0	0	0	0	0	0	0	0	1
0x401770	0	0	0	0	0	0	1	0	2	0	0	1
0x401857	0	0	0	0	0	0	1	0	3	0	0	0
0x4018a0	0	0	1	0	0	0	0	0	0	0	0	1
0x4018c0	0	0	0	0	0	0	0	0	0	0	0	1
0x401900	0	0	0	0	0	0	0	0	1	0	0	1
0x401990	0	0	0	0	0	0	0	0	0	0	0	1
0x401a00	0	0	0	0	0	0	0	0	0	0	0	1
0x401a10	0	0	0	0	0	0	0	0	0	0	0	1
0x401a20	0	0	0	0	0	0	0	0	0	0	0	1
0x401a40	0	0	0	0	0	0	0	0	0	0	0	1
0x401a60	0	0	0	0	0	0	0	0	0	0	0	1
0x401a80	0	0	0	0	0	0	0	0	0	0	0	1
0x401b00	0	0	0	0	0	0	0	0	1	0	0	1
0x401b20	0	0	0	0	0	0	0	1	1	0	0	1
0x401b90	0	0	0	0	0	0	0	0	0	0	0	1
0x401c10	0	0	0	0	0	0	0	0	0	0	0	1
0x401c80	0	0	0	0	0	0	0	0	0	0	0	1
