binary,start,end,name
hello_stripped,4198400,4198423,_DT_INIT
hello_stripped,4198432,4198444,FUN_00401020
hello_stripped,4198448,4198454,printf
hello_stripped,4198464,4198498,entry
hello_stripped,4198512,4198513,FUN_00401070
hello_stripped,4198528,4198561,FUN_00401080
hello_stripped,4198576,4198625,FUN_004010b0
hello_stripped,4198640,4198673,_FINI_0
hello_stripped,4198688,4198694,_INIT_0
hello_stripped,4198694,4198727,FUN_00401126
hello_stripped,4198728,4198737,_DT_FINI
hello_stripped,4214784,4214785,__libc_start_main
hello_stripped,4214792,4214793,printf
hello_stripped,4214800,4214801,__gmon_start__
