binary,start,end,name
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1052672,1052695,_DT_INIT
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1052704,1052716,FUN_00101020
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1052720,1052726,z
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1052736,1052742,x
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1052752,1052758,printf
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1052768,1052774,y
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1052784,1052790,__cxa_finalize
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1052800,1052841,FUN_00101080
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1052848,1052905,FUN_001010b0
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1052912,1052969,_FINI_0
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1052976,1052985,_INIT_0
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1052985,1053002,x
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1053002,1053017,y
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1053017,1053032,z
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1053032,1053198,main
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1053200,1053209,_DT_FINI
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1069056,1069057,_ITM_deregisterTMCloneTable
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1069064,1069065,printf
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1069072,1069073,__gmon_start__
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1069080,1069081,_ITM_registerTMCloneTable
rosetta_v06_00039_Accumulator-factory_accumulator-factory_stripped,1069088,1069089,__cxa_finalize
