binary,start,end,name
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198448,4198454,qsort
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198464,4198470,printf
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198480,4198514,entry
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198528,4198529,FUN_00401080
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198544,4198577,FUN_00401090
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198592,4198641,FUN_004010c0
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198656,4198689,_FINI_0
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198704,4198710,_INIT_0
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198710,4198738,FUN_00401136
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198738,4198830,FUN_00401152
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198830,4198907,FUN_004011ae
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4198908,4198917,_DT_FINI
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4214792,4214793,qsort
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4214800,4214801,printf
rosetta_v06_00120_Averages-Median_averages-median-1_stripped,4214808,4214809,__gmon_start__
