binary,start,end,name
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198448,4198454,puts
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198464,4198470,clock
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198480,4198486,printf
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198496,4198502,setlocale
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198512,4198546,entry
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198560,4198561,FUN_004010a0
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198576,4198609,FUN_004010b0
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198624,4198673,FUN_004010e0
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198688,4198721,_FINI_0
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198736,4198742,_INIT_0
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4198752,4199153,FUN_00401160
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4199153,4199420,FUN_004012f1
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4199420,4199775,FUN_004013fc
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4199776,4199785,_DT_FINI
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4214792,4214793,puts
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4214800,4214801,clock
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4214808,4214809,printf
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4214816,4214817,__gmon_start__
rosetta_v06_00257_Colorful-numbers_colorful-numbers_stripped,4214824,4214825,setlocale
