binary,start,end,name
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198448,4198454,puts
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198464,4198470,qsort
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198480,4198486,printf
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198496,4198502,srand
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198512,4198518,time
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198528,4198534,rand
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198560,4198594,entry
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198608,4198609,FUN_004010d0
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198624,4198657,FUN_004010e0
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198672,4198721,FUN_00401110
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198736,4198769,_FINI_0
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198784,4198790,_INIT_0
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198816,4198825,FUN_004011a0
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198825,4198864,FUN_004011a9
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198864,4198959,FUN_004011d0
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4198959,4199280,FUN_0040122f
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4199280,4199289,_DT_FINI
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4214792,4214793,puts
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4214800,4214801,qsort
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4214808,4214809,printf
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4214816,4214817,srand
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4214824,4214825,__gmon_start__
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4214832,4214833,time
rosetta_v06_00411_Dutch-national-flag-problem_dutch-national-flag-problem_stripped,4214840,4214841,rand
