binary,start,end,name
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4198448,4198454,puts
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4198464,4198470,printf
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4198528,4198562,entry
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4198576,4198577,FUN_004010b0
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4198592,4198625,FUN_004010c0
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4198640,4198689,FUN_004010f0
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4198704,4198737,_FINI_0
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4198752,4198758,_INIT_0
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4198784,4199115,FUN_00401180
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4199115,4199131,FUN_004012cb
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4199132,4199141,_DT_FINI
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4214792,4214793,puts
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4214800,4214801,printf
rosetta_v06_00493_Feigenbaum-constant-calculation_feigenbaum-constant-calculation_stripped,4214808,4214809,__gmon_start__
