binary,start,end,name
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped,4198432,4198466,entry
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped,4198480,4198481,FUN_00401050
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped,4198496,4198529,FUN_00401060
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped,4198544,4198593,FUN_00401090
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped,4198608,4198641,_FINI_0
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped,4198656,4198662,_INIT_0
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped,4198662,4198668,FUN_00401106
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped,4198668,4198677,_DT_FINI
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00638_Halt-and-catch-fire_halt-and-catch-fire_stripped,4214792,4214793,__gmon_start__
