binary,start,end,name
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198448,4198454,free
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198464,4198470,printf
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198480,4198486,memcpy
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198496,4198502,__isoc23_strtol
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198512,4198518,malloc
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198528,4198534,fwrite
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198592,4198626,entry
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198640,4198641,FUN_004010f0
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198656,4198689,FUN_00401100
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198704,4198753,FUN_00401130
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198768,4198801,_FINI_0
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198816,4198822,_INIT_0
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4198848,4199004,FUN_004011c0
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4199004,4199100,FUN_0040125c
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4199100,4199475,FUN_004012bc
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4199475,4199634,FUN_00401433
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4199636,4199645,_DT_FINI
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4214784,4214785,free
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4214792,4214793,__libc_start_main
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4214800,4214801,printf
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4214808,4214809,__gmon_start__
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4214816,4214817,memcpy
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4214824,4214825,__isoc23_strtol
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4214832,4214833,malloc
rosetta_v06_00866_Mayan-numerals_mayan-numerals_stripped,4214840,4214841,fwrite
