binary,start,end,name
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4198448,4198454,strlen
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4198464,4198470,printf
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4198480,4198486,sprintf
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4198496,4198530,entry
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4198544,4198545,FUN_00401090
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4198560,4198593,FUN_004010a0
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4198608,4198657,FUN_004010d0
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4198672,4198705,_FINI_0
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4198720,4198726,_INIT_0
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4198726,4198833,FUN_00401146
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4198833,4199064,FUN_004011b1
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4199064,4199073,_DT_FINI
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4214792,4214793,strlen
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4214800,4214801,printf
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4214808,4214809,__gmon_start__
rosetta_v06_00890_Middle-three-digits_middle-three-digits-1_stripped,4214816,4214817,sprintf
