binary,start,end,name
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198448,4198454,putchar
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198464,4198470,fread
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198480,4198486,fclose
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198496,4198502,printf
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198512,4198518,srand
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198528,4198534,fopen
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198544,4198550,fwrite
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198560,4198566,rand
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198592,4198626,entry
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198640,4198641,FUN_004010f0
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198656,4198689,FUN_00401100
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198704,4198753,FUN_00401130
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198768,4198801,_FINI_0
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198816,4198822,_INIT_0
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198848,4198913,FUN_004011c0
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198913,4198929,FUN_00401201
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198929,4198986,FUN_00401211
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4198986,4199050,FUN_0040124a
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4199050,4199545,FUN_0040128a
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4199545,4199809,FUN_00401479
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4199812,4199821,_DT_FINI
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4214784,4214785,putchar
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4214792,4214793,__libc_start_main
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4214800,4214801,fread
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4214808,4214809,fclose
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4214816,4214817,printf
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4214824,4214825,srand
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4214832,4214833,__gmon_start__
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4214840,4214841,fopen
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4214848,4214849,fwrite
rosetta_v06_00897_Mind-boggling-card-trick_mind-boggling-card-trick_stripped,4214856,4214857,rand
