binary,start,end,name
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198448,4198454,mmap
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198464,4198470,printf
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198480,4198486,close
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198496,4198502,memcpy
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198512,4198518,err
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198528,4198534,munmap
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198544,4198550,open
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198560,4198566,fstat
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198592,4198626,entry
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198640,4198641,FUN_004010f0
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198656,4198689,FUN_00401100
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198704,4198753,FUN_00401130
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198768,4198801,_FINI_0
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198816,4198822,_INIT_0
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198848,4198947,FUN_004011c0
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4198947,4199335,FUN_00401223
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4199336,4199345,_DT_FINI
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214792,4214793,mmap
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214800,4214801,printf
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214808,4214809,close
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214816,4214817,__gmon_start__
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214824,4214825,memcpy
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214832,4214833,err
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214840,4214841,munmap
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214848,4214849,open
rosetta_v06_00995_Ordered-words_ordered-words-3_stripped,4214856,4214857,fstat
