binary,start,end,name
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4198400,4198423,_DT_INIT
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4198432,4198444,FUN_00401020
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4198448,4198454,printf
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4198464,4198498,entry
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4198512,4198513,FUN_00401070
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4198528,4198561,FUN_00401080
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4198576,4198625,FUN_004010b0
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4198640,4198673,_FINI_0
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4198688,4198694,_INIT_0
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4198720,4198843,FUN_00401140
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4198843,4198972,FUN_004011bb
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4198972,4198978,FUN_0040123c
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4198978,4199060,FUN_00401242
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4199060,4199479,FUN_00401294
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4199479,4199598,FUN_00401437
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4199598,4199736,FUN_004014ae
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4199736,4199745,_DT_FINI
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4214784,4214785,__libc_start_main
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4214792,4214793,printf
rosetta_v06_01104_Prime-decomposition_prime-decomposition-4_stripped,4214800,4214801,__gmon_start__
