binary,start,end,name
rosetta_v06_01312_Sockets_sockets_stripped,4198400,4198423,_DT_INIT
rosetta_v06_01312_Sockets_sockets_stripped,4198432,4198444,FUN_00401020
rosetta_v06_01312_Sockets_sockets_stripped,4198448,4198454,strlen
rosetta_v06_01312_Sockets_sockets_stripped,4198464,4198470,send
rosetta_v06_01312_Sockets_sockets_stripped,4198480,4198486,close
rosetta_v06_01312_Sockets_sockets_stripped,4198496,4198502,connect
rosetta_v06_01312_Sockets_sockets_stripped,4198512,4198518,getaddrinfo
rosetta_v06_01312_Sockets_sockets_stripped,4198528,4198534,freeaddrinfo
rosetta_v06_01312_Sockets_sockets_stripped,4198544,4198550,socket
rosetta_v06_01312_Sockets_sockets_stripped,4198560,4198594,entry
rosetta_v06_01312_Sockets_sockets_stripped,4198608,4198609,FUN_004010d0
rosetta_v06_01312_Sockets_sockets_stripped,4198624,4198657,FUN_004010e0
rosetta_v06_01312_Sockets_sockets_stripped,4198672,4198721,FUN_00401110
rosetta_v06_01312_Sockets_sockets_stripped,4198736,4198769,_FINI_0
rosetta_v06_01312_Sockets_sockets_stripped,4198784,4198790,_INIT_0
rosetta_v06_01312_Sockets_sockets_stripped,4198790,4198993,FUN_00401186
rosetta_v06_01312_Sockets_sockets_stripped,4198996,4199005,_DT_FINI
rosetta_v06_01312_Sockets_sockets_stripped,4214784,4214785,__libc_start_main
rosetta_v06_01312_Sockets_sockets_stripped,4214792,4214793,strlen
rosetta_v06_01312_Sockets_sockets_stripped,4214800,4214801,send
rosetta_v06_01312_Sockets_sockets_stripped,4214808,4214809,close
rosetta_v06_01312_Sockets_sockets_stripped,4214816,4214817,__gmon_start__
rosetta_v06_01312_Sockets_sockets_stripped,4214824,4214825,connect
rosetta_v06_01312_Sockets_sockets_stripped,4214832,4214833,getaddrinfo
rosetta_v06_01312_Sockets_sockets_stripped,4214840,4214841,freeaddrinfo
rosetta_v06_01312_Sockets_sockets_stripped,4214848,4214849,socket
