binary,start,end,name
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198400,4198423,_DT_INIT
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198432,4198444,FUN_00401020
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198448,4198454,strcasecmp
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198464,4198470,puts
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198480,4198486,printf
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198496,4198502,strcmp
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198512,4198546,entry
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198560,4198561,FUN_004010a0
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198576,4198609,FUN_004010b0
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198624,4198673,FUN_004010e0
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198688,4198721,_FINI_0
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198736,4198742,_INIT_0
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198742,4198870,FUN_00401156
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198870,4198998,FUN_004011d6
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4198998,4199104,FUN_00401256
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4199104,4199113,_DT_FINI
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4214784,4214785,strcasecmp
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4214792,4214793,__libc_start_main
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4214800,4214801,puts
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4214808,4214809,printf
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4214816,4214817,strcmp
rosetta_v06_01396_String-comparison_string-comparison-2_stripped,4214824,4214825,__gmon_start__
