binary,start,end,name
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198400,4198423,_DT_INIT
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198432,4198444,FUN_00401020
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198448,4198454,printf
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198464,4198470,calloc
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198480,4198486,putc
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198496,4198502,sprintf
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198528,4198562,entry
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198576,4198577,FUN_004010b0
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198592,4198625,FUN_004010c0
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198640,4198689,FUN_004010f0
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198704,4198737,_FINI_0
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198752,4198758,_INIT_0
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198784,4198960,FUN_00401180
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4198960,4199033,FUN_00401230
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4199033,4199195,FUN_00401279
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4199195,4199286,FUN_0040131b
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4199286,4199643,FUN_00401376
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4199644,4199653,_DT_FINI
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4214784,4214785,__libc_start_main
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4214792,4214793,printf
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4214800,4214801,calloc
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4214808,4214809,putc
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4214816,4214817,__gmon_start__
rosetta_v06_01438_Summarize-and-say-sequence_summarize-and-say-sequence_stripped,4214824,4214825,sprintf
