binary,start,end,name
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198400,4198423,_DT_INIT
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198432,4198444,FUN_00401020
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198448,4198454,putchar
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198464,4198470,puts
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198480,4198486,qsort
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198496,4198502,printf
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198512,4198518,strcmp
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198528,4198562,entry
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198576,4198577,FUN_004010b0
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198592,4198625,FUN_004010c0
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198640,4198689,FUN_004010f0
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198704,4198737,_FINI_0
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198752,4198758,_INIT_0
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198784,4198803,FUN_00401180
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4198803,4199102,FUN_00401193
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4199102,4199600,FUN_004012be
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4199600,4199609,_DT_FINI
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4214784,4214785,putchar
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4214792,4214793,__libc_start_main
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4214800,4214801,puts
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4214808,4214809,qsort
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4214816,4214817,printf
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4214824,4214825,strcmp
rosetta_v06_01593_World-Cup-group-stage_world-cup-group-stage_stripped,4214832,4214833,__gmon_start__
