binary,start,end,name
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4198448,4198454,__isoc23_strtoull
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4198464,4198470,printf
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4198480,4198486,srand
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4198496,4198502,time
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4198512,4198518,__isoc23_strtol
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4198528,4198534,malloc
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4198544,4198550,rand
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4198560,4199158,FUN_004010a0
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4199168,4199202,entry
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4199216,4199217,FUN_00401330
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4199232,4199265,FUN_00401340
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4199280,4199329,FUN_00401370
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4199344,4199377,_FINI_0
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4199392,4199398,_INIT_0
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4199408,4199602,FUN_004013f0
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4199616,4199682,FUN_004014c0
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4199696,4199950,FUN_00401510
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4199952,4200246,FUN_00401610
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4200248,4200257,_DT_FINI
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4214792,4214793,__isoc23_strtoull
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4214800,4214801,printf
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4214808,4214809,srand
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4214816,4214817,__gmon_start__
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4214824,4214825,time
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4214832,4214833,__isoc23_strtol
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4214840,4214841,malloc
rosetta_v06_00006_100-prisoners_100-prisoners_stripped,4214848,4214849,rand
