binary,start,end,name
rosetta_v06_00014_24-game_24-game_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00014_24-game_24-game_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00014_24-game_24-game_stripped,4198448,4198454,puts
rosetta_v06_00014_24-game_24-game_stripped,4198464,4198470,printf
rosetta_v06_00014_24-game_24-game_stripped,4198480,4198486,srand
rosetta_v06_00014_24-game_24-game_stripped,4198496,4198502,fgets
rosetta_v06_00014_24-game_24-game_stripped,4198512,4198518,_setjmp
rosetta_v06_00014_24-game_24-game_stripped,4198528,4198534,time
rosetta_v06_00014_24-game_24-game_stripped,4198544,4198550,longjmp
rosetta_v06_00014_24-game_24-game_stripped,4198560,4198566,exit
rosetta_v06_00014_24-game_24-game_stripped,4198576,4198582,rand
rosetta_v06_00014_24-game_24-game_stripped,4198592,4198598,__ctype_b_loc
rosetta_v06_00014_24-game_24-game_stripped,4198624,4198635,FUN_004010e0
rosetta_v06_00014_24-game_24-game_stripped,4198640,4198835,FUN_004010f0
rosetta_v06_00014_24-game_24-game_stripped,4198848,4198882,entry
rosetta_v06_00014_24-game_24-game_stripped,4198896,4198897,FUN_004011f0
rosetta_v06_00014_24-game_24-game_stripped,4198912,4198945,FUN_00401200
rosetta_v06_00014_24-game_24-game_stripped,4198960,4199009,FUN_00401230
rosetta_v06_00014_24-game_24-game_stripped,4199024,4199057,_FINI_0
rosetta_v06_00014_24-game_24-game_stripped,4199072,4199078,_INIT_0
rosetta_v06_00014_24-game_24-game_stripped,4199104,4199498,FUN_004012c0
rosetta_v06_00014_24-game_24-game_stripped,4199504,4199579,FUN_00401450
rosetta_v06_00014_24-game_24-game_stripped,4199584,4199726,FUN_004014a0
rosetta_v06_00014_24-game_24-game_stripped,4199728,4199756,FUN_00401530
rosetta_v06_00014_24-game_24-game_stripped,4199760,4199801,FUN_00401550
rosetta_v06_00014_24-game_24-game_stripped,4199808,4199909,FUN_00401580
rosetta_v06_00014_24-game_24-game_stripped,4199920,4199962,FUN_004015f0
rosetta_v06_00014_24-game_24-game_stripped,4199968,4200248,FUN_00401620
rosetta_v06_00014_24-game_24-game_stripped,4200256,4200722,FUN_00401740
rosetta_v06_00014_24-game_24-game_stripped,4200736,4201000,FUN_00401920
rosetta_v06_00014_24-game_24-game_stripped,4201008,4201184,FUN_00401a30
rosetta_v06_00014_24-game_24-game_stripped,4201184,4201320,FUN_00401ae0
rosetta_v06_00014_24-game_24-game_stripped,4201328,4201517,FUN_00401b70
rosetta_v06_00014_24-game_24-game_stripped,4201520,4201557,FUN_00401c30
rosetta_v06_00014_24-game_24-game_stripped,4201568,4201597,FUN_00401c60
rosetta_v06_00014_24-game_24-game_stripped,4201600,4201949,FUN_00401c80
rosetta_v06_00014_24-game_24-game_stripped,4201952,4201961,_DT_FINI
rosetta_v06_00014_24-game_24-game_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00014_24-game_24-game_stripped,4214792,4214793,puts
rosetta_v06_00014_24-game_24-game_stripped,4214800,4214801,printf
rosetta_v06_00014_24-game_24-game_stripped,4214808,4214809,srand
rosetta_v06_00014_24-game_24-game_stripped,4214816,4214817,fgets
rosetta_v06_00014_24-game_24-game_stripped,4214824,4214825,_setjmp
rosetta_v06_00014_24-game_24-game_stripped,4214832,4214833,__gmon_start__
rosetta_v06_00014_24-game_24-game_stripped,4214840,4214841,time
rosetta_v06_00014_24-game_24-game_stripped,4214848,4214849,longjmp
rosetta_v06_00014_24-game_24-game_stripped,4214856,4214857,exit
rosetta_v06_00014_24-game_24-game_stripped,4214864,4214865,rand
rosetta_v06_00014_24-game_24-game_stripped,4214872,4214873,__ctype_b_loc
