binary,start,end,name
rosetta_v06_00023_A+B_a+b-3_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00023_A+B_a+b-3_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00023_A+B_a+b-3_stripped,4198448,4198454,printf
rosetta_v06_00023_A+B_a+b-3_stripped,4198464,4198470,__isoc23_strtol
rosetta_v06_00023_A+B_a+b-3_stripped,4198480,4198550,FUN_00401050
rosetta_v06_00023_A+B_a+b-3_stripped,4198560,4198594,entry
rosetta_v06_00023_A+B_a+b-3_stripped,4198608,4198609,FUN_004010d0
rosetta_v06_00023_A+B_a+b-3_stripped,4198624,4198657,FUN_004010e0
rosetta_v06_00023_A+B_a+b-3_stripped,4198672,4198721,FUN_00401110
rosetta_v06_00023_A+B_a+b-3_stripped,4198736,4198769,_FINI_0
rosetta_v06_00023_A+B_a+b-3_stripped,4198784,4198790,_INIT_0
rosetta_v06_00023_A+B_a+b-3_stripped,4198792,4198801,_DT_FINI
rosetta_v06_00023_A+B_a+b-3_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00023_A+B_a+b-3_stripped,4214792,4214793,printf
rosetta_v06_00023_A+B_a+b-3_stripped,4214800,4214801,__gmon_start__
rosetta_v06_00023_A+B_a+b-3_stripped,4214808,4214809,__isoc23_strtol
