binary,start,end,name
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4198448,4198454,printf
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4198464,4198470,memset
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4198480,4198486,rand
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4198496,4198761,FUN_00401060
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4198768,4198802,entry
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4198816,4198817,FUN_004011a0
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4198832,4198865,FUN_004011b0
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4198880,4198929,FUN_004011e0
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4198944,4198977,_FINI_0
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4198992,4198998,_INIT_0
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4199008,4199102,FUN_00401260
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4199104,4199201,FUN_004012c0
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4199216,4199370,FUN_00401330
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4199376,4199551,FUN_004013d0
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4199552,4199561,_DT_FINI
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4214792,4214793,printf
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4214800,4214801,memset
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4214808,4214809,__gmon_start__
rosetta_v06_00131_Balanced-brackets_balanced-brackets-1_stripped,4214816,4214817,rand
