binary,start,end,name
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198448,4198454,printf
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198464,4198470,memcpy
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198496,4198965,FUN_00401060
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4198976,4199010,entry
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4199024,4199025,FUN_00401270
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4199040,4199073,FUN_00401280
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4199088,4199137,FUN_004012b0
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4199152,4199185,_FINI_0
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4199200,4199206,_INIT_0
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4199232,4199305,FUN_00401340
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4199308,4199317,_DT_FINI
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4214792,4214793,printf
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4214800,4214801,__gmon_start__
rosetta_v06_00365_Descending-primes_descending-primes_stripped,4214808,4214809,memcpy
