binary,start,end,name
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198400,4198423,_DT_INIT
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198432,4198444,FUN_00401020
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198448,4198454,puts
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198464,4198470,printf
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198480,4198486,__isoc23_scanf
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198496,4198743,FUN_00401060
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198752,4198786,entry
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198800,4198801,FUN_00401190
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198816,4198849,FUN_004011a0
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198864,4198913,FUN_004011d0
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198928,4198961,_FINI_0
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198976,4198982,_INIT_0
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198992,4198996,FUN_00401250
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4198996,4199005,_DT_FINI
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4214784,4214785,__libc_start_main
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4214792,4214793,puts
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4214800,4214801,printf
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4214808,4214809,__isoc23_scanf
rosetta_v06_01242_Scope-Function-names-and-labels_scope-function-names-and-labels_stripped,4214816,4214817,__gmon_start__
