binary,start,end,name
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198400,4198423,_DT_INIT
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198432,4198444,FUN_00401020
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198448,4198454,free
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198464,4198470,strncmp
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198480,4198486,__isoc23_sscanf
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198496,4198502,qsort
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198512,4198518,strtod
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198528,4198534,strlen
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198544,4198550,printf
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198560,4198566,close
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198576,4198582,read
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198592,4198598,calloc
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198608,4198614,__isoc23_strtol
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198624,4198630,malloc
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198640,4198646,open
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198656,4198662,fstat
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198688,4198700,FUN_00401120
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198704,4198738,entry
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198752,4198753,FUN_00401160
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198768,4198801,FUN_00401170
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198816,4198865,FUN_004011a0
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198880,4198913,_FINI_0
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198928,4198934,_INIT_0
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4198944,4199001,FUN_00401220
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4199008,4200081,FUN_00401260
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4200084,4200093,_DT_FINI
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214784,4214785,free
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214792,4214793,__libc_start_main
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214800,4214801,strncmp
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214808,4214809,__isoc23_sscanf
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214816,4214817,qsort
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214824,4214825,strtod
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214832,4214833,strlen
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214840,4214841,printf
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214848,4214849,close
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214856,4214857,read
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214864,4214865,calloc
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214872,4214873,__gmon_start__
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214880,4214881,__isoc23_strtol
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214888,4214889,malloc
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214896,4214897,open
rosetta_v06_01477_Text-processing-2_text-processing-2_stripped,4214904,4214905,fstat
