binary,start,end,name
rosetta_v06_00001_100-doors_100-doors-1_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00001_100-doors_100-doors-1_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00001_100-doors_100-doors-1_stripped,4198448,4198454,printf
rosetta_v06_00001_100-doors_100-doors-1_stripped,4198464,4198680,FUN_00401040
rosetta_v06_00001_100-doors_100-doors-1_stripped,4198688,4198722,entry
rosetta_v06_00001_100-doors_100-doors-1_stripped,4198736,4198737,FUN_00401150
rosetta_v06_00001_100-doors_100-doors-1_stripped,4198752,4198785,FUN_00401160
rosetta_v06_00001_100-doors_100-doors-1_stripped,4198800,4198849,FUN_00401190
rosetta_v06_00001_100-doors_100-doors-1_stripped,4198864,4198897,_FINI_0
rosetta_v06_00001_100-doors_100-doors-1_stripped,4198912,4198918,_INIT_0
rosetta_v06_00001_100-doors_100-doors-1_stripped,4198920,4198929,_DT_FINI
rosetta_v06_00001_100-doors_100-doors-1_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00001_100-doors_100-doors-1_stripped,4214792,4214793,printf
rosetta_v06_00001_100-doors_100-doors-1_stripped,4214800,4214801,__gmon_start__
