binary,start,end,name
rosetta_v06_00611_Gotchas_gotchas-8_stripped,1052672,1052695,_DT_INIT
rosetta_v06_00611_Gotchas_gotchas-8_stripped,1052704,1052716,FUN_00101020
rosetta_v06_00611_Gotchas_gotchas-8_stripped,1052720,1052726,__cxa_finalize
rosetta_v06_00611_Gotchas_gotchas-8_stripped,1052736,1052777,FUN_00101040
rosetta_v06_00611_Gotchas_gotchas-8_stripped,1052784,1052841,FUN_00101070
rosetta_v06_00611_Gotchas_gotchas-8_stripped,1052848,1052905,_FINI_0
rosetta_v06_00611_Gotchas_gotchas-8_stripped,1052912,1052921,_INIT_0
rosetta_v06_00611_Gotchas_gotchas-8_stripped,1052928,1052934,gotcha
rosetta_v06_00611_Gotchas_gotchas-8_stripped,1052936,1052945,_DT_FINI
rosetta_v06_00611_Gotchas_gotchas-8_stripped,1069056,1069057,__cxa_finalize
rosetta_v06_00611_Gotchas_gotchas-8_stripped,1069064,1069065,_ITM_registerTMCloneTable
rosetta_v06_00611_Gotchas_gotchas-8_stripped,1069072,1069073,_ITM_deregisterTMCloneTable
rosetta_v06_00611_Gotchas_gotchas-8_stripped,1069080,1069081,__gmon_start__
