binary,start,end,name
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4198448,4198454,putchar
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4198464,4198470,strlen
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4198480,4198486,printf
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4198496,4198502,ceil
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4198528,4202096,FUN_00401080
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202096,4202130,entry
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202144,4202145,FUN_00401ea0
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202160,4202193,FUN_00401eb0
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202208,4202257,FUN_00401ee0
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202272,4202305,_FINI_0
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202320,4202326,_INIT_0
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202368,4202430,FUN_00401f80
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202432,4202479,thunk_FUN_00401fef
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202479,4202489,FUN_00401fef
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202496,4202513,FUN_00402000
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202528,4202529,FUN_00402020
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202544,4202577,FUN_00402030
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202592,4202638,FUN_00402060
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202640,4202669,FUN_00402090
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202672,4202709,FUN_004020b0
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202720,4202810,FUN_004020e0
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202816,4202865,FUN_00402140
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202880,4202969,FUN_00402180
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4202976,4203014,FUN_004021e0
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4203024,4203445,FUN_00402210
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4203456,4204343,FUN_004023c0
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4204344,4204353,_DT_FINI
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4218880,4218881,putchar
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4218888,4218889,__libc_start_main
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4218896,4218897,strlen
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4218904,4218905,printf
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4218912,4218913,__gmon_start__
rosetta_v06_00692_Imaginary-base-numbers_imaginary-base-numbers_stripped,4218920,4218921,ceil
