binary,start,end,name
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198448,4198454,free
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198464,4198470,putchar
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198480,4198486,puts
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198496,4198502,strlen
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198512,4198518,printf
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198528,4198534,calloc
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198544,4198550,memcpy
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198560,4198566,exit
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198592,4198840,FUN_004010c0
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198848,4198882,entry
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198896,4198897,FUN_004011f0
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198912,4198945,FUN_00401200
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4198960,4199009,FUN_00401230
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4199024,4199057,_FINI_0
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4199072,4199078,_INIT_0
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4199104,4199381,FUN_004012c0
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4199392,4200982,FUN_004013e0
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4200984,4200993,_DT_FINI
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4214784,4214785,free
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4214792,4214793,putchar
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4214800,4214801,__libc_start_main
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4214808,4214809,puts
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4214816,4214817,strlen
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4214824,4214825,printf
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4214832,4214833,calloc
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4214840,4214841,__gmon_start__
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4214848,4214849,memcpy
rosetta_v06_00765_Last-letter-first-letter_last-letter-first-letter-1_stripped,4214856,4214857,exit
