binary,start,end,name
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4198400,4198423,_DT_INIT
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4198432,4198444,FUN_00401020
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4198448,4198454,printf
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4198464,4198503,FUN_00401040
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4198512,4198546,entry
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4198560,4198561,FUN_004010a0
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4198576,4198609,FUN_004010b0
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4198624,4198673,FUN_004010e0
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4198688,4198721,_FINI_0
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4198736,4198742,_INIT_0
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4198752,4198767,FUN_00401160
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4198768,4198777,_DT_FINI
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4214784,4214785,__libc_start_main
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4214792,4214793,printf
rosetta_v06_01204_Return-multiple-values_return-multiple-values-2_stripped,4214800,4214801,__gmon_start__
