binary,start,end,name
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198400,4198423,_DT_INIT
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198432,4198444,FUN_00401020
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198448,4198454,free
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198464,4198470,mbstowcs
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198480,4198486,printf
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198496,4198502,wcsncpy
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198512,4198518,malloc
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198528,4198534,setlocale
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198544,4198550,wcstombs
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198560,4198654,FUN_004010a0
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198656,4198690,entry
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198704,4198705,FUN_00401130
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198720,4198753,FUN_00401140
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198768,4198817,FUN_00401170
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198832,4198865,_FINI_0
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198880,4198886,_INIT_0
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198896,4198949,FUN_004011f0
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4198960,4199054,FUN_00401230
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4199056,4199325,FUN_00401290
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4199328,4199484,FUN_004013a0
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4199484,4199493,_DT_FINI
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4214784,4214785,free
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4214792,4214793,__libc_start_main
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4214800,4214801,mbstowcs
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4214808,4214809,printf
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4214816,4214817,wcsncpy
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4214824,4214825,__gmon_start__
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4214832,4214833,malloc
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4214840,4214841,setlocale
rosetta_v06_01205_Reverse-a-string_reverse-a-string-1_stripped,4214848,4214849,wcstombs
